1325346600,4.39
1325803800,6.43
1326286200,7.2
1326729000,6.2
1327247400,6.83
1327405800,6.55
1328021400,5.85
1328230200,6.3
1328287800,6.29
1328464200,5.7
1329223800,4.87
1329483000,4.74
1330462200,5.01
1330469400,4.88
1331052600,4.96
1331200200,4.95
1331736600,5.44
1331931000,5.27
1332057000,5.41
1332262200,4.8266709485
1332870600,4.9
1332935400,4.95
1332942600,4.94
1333047000,4.79
1333385400,4.98
1333662600,5
1334069400,4.856853456
1334314200,4.88
1334533800,4.99
1334609400,4.98
1334861400,5.16
1334976600,5.37
1334987400,5.37
1335246600,5.05
1335261000,5.073962585
1335275400,5.11
1335279000,5.11
1335351000,5.06
1335473400,5.04
1335786600,4.94
1336042200,5.1
1336157400,5.1033096721
1336240200,5.04
1336567800,5.06
1336571400,5.06
1336812600,4.96
1337334600,5.05
1337748600,5.05
1338126600,5.07
1338295800,5.09
1338299400,4.99
1338303000,5.04
1338810600,5.22
1338821400,5.24
1338835800,5.22
1338893400,5.42
1339008600,5.42
1339023000,5.4103903159
1339156200,5.62
1339357800,5.4300162438
1339494600,5.53
1339530600,5.9
1339591800,5.97
1339599000,5.92
1339627800,5.87
1339674600,5.81
1339678200,5.81
1339714200,5.9
1339757400,5.86
1339807800,6.38
1339840200,6.48
1340196600,6.49
1340211000,6.63
1340308200,6.65
1340693400,6.17
1340797800,6.57
1340826600,6.52
1340873400,6.54
1340909400,6.49
1340920200,6.472203139
1340967000,6.6
1341017400,6.5010019628
1341233400,6.61
1341334200,6.4647657172
1341478200,6.63
1341496200,6.64
1341517800,6.62
1341525000,6.61
1341557400,6.46
1341582600,6.59
1341618600,6.59
1341867000,6.69
1341870600,6.84
1341877800,6.93
1341903000,7.07
1341921000,7
1341928200,7.08
1341949800,7
1342119000,7.1143607559
1342137000,7.55
1342162200,7.59
1342165800,7.64
1342191000,7.58
1342198200,7.594503641
1342255800,7.53
1342439400,7.58
1342479000,7.96
1342540200,8.2
1342572600,8.46
1342619400,8.8
1342727400,9.2
1342752600,7.95
1342781400,8.1901345291
1342795800,8.33
1342864200,8.685
1342896600,8.8520170309
1343011800,8.36
1343141400,8.57
1343173800,8.61
1343209800,8.33
1343317800,8.63
1343343000,8.83
1343371800,8.84
1343497800,8.96
1343627400,8.7
1343645400,8.72
1343699400,9.099495
1343821800,9.41
1343850600,9.34
1343861400,9.44
1343868600,9.45
1343886600,9.43
1343897400,9.5
1343937000,9.81
1343940600,10
1343969400,10.44
1344012600,10.8
1344016200,11.189771628
1344156600,10.5
1344239400,10.609357452
1344257400,10.82
1344268200,10.944809829
1344289800,10.77
1344369000,10.764010647
1344433800,10.86
1344441000,11
1344513000,11.47
1344527400,11.38
1344631800,11.249803544
1344783000,11.39
1344862200,11.72
1344891000,11.6
1344941400,11.98
1344973800,12.03
1345031400,12.49
1345092600,13.17
1345114200,13.4
1345135800,13.4
1345150200,13.42
1345168200,13.42
1345189800,14.68
1345197000,15
1345218600,14.9
1345233000,12.99
1345258200,12.28
1345305000,11.597187398
1345377000,9.45
1345398600,8.88
1345416600,8.09
1345420200,7.65
1345549800,10
1345621800,10.07
1345672200,10.05
1345744200,10.11
1345805400,9.98
1345827000,10.04
1345917000,10.32
1345920600,10.37
1345996200,10.52
1346010600,10.5
1346053800,11.31
1346057400,11.78
1346061000,11.82
1346075400,11.59
1346082600,11.335214286
1346187000,11.2
1346190600,11
1346194200,10.99
1346244600,10.99
1346255400,10.895
1346316600,10.75
1346349000,10.83
1346385000,10.4
1346395800,10.69
1346410200,10.556580825
1346493000,9.9
1346622600,10.17
1346691000,10.36
1346745000,10.3
1346802600,10.36
1346863800,10.46
1346957400,10.88
1346968200,10.92
1346971800,11.14
1347018600,11.000536813
1347108600,10.89
1347148200,10.97
1347407400,11.04
1347421800,11.03
1347429000,10.9
1347443400,10.91
1347457800,10.95
1347501000,11.2
1347547800,11.25
1347637800,11.58
1347778200,11.724037843
1347882600,11.79
1347915000,11.85
1347929400,11.67
1347972600,11.89
1347987000,11.869977646
1347994200,11.89
1348005000,11.89
1348012200,11.91
1348055400,12.48
1348134600,12.5
1348141800,12.59
1348152600,12.45
1348188600,12.29
1348231800,12.1
1348318200,12.04373444
1348347000,12.04
1348401000,11.85
1348408200,11.85
1348440600,11.989131611
1348509000,11.94
1348559400,11.76
1348584600,11.94
1348602600,11.85
1348606200,11.78
1348656600,12.05
1348685400,12.146695254
1348689000,12.1
1348696200,12.17
1348732200,11.9
1348739400,12.3
1348786200,12.08
1348858200,12.24
1348869000,12.240209311
1348879800,12.28
1349074200,12.23
1349085000,12.1
1349113800,12.2
1349128200,12.14
1349135400,12.15
1349189400,12.531243185
1349225400,12.504
1349257800,12.88
1349265000,12.89
1349340600,12.8
1349351400,12.76
1349355000,12.77
1349365800,12.67
1349452200,12.45
1349538600,12.4
1349599800,12
1349664600,11.6
1349689800,10.79
1349718600,11.26
1349776200,12.2
1349787000,12
1349801400,11.98
1349855400,11.973770516
1350042600,11.95
1350136200,11.99
1350147000,11.95
1350269400,11.7
1350273000,11.74
1350294600,11.5
1350467400,11.56
1350489000,11.92
1350654600,11.706953306
1350661800,11.71
1350892200,11.5
1350895800,11.5
1350903000,11.56
1350910200,11.46
1350921000,11.4
1350978600,11.64156071
1350985800,11.58
1351000200,11.37
1351086600,11.38
1351111800,11.39
1351187400,10.896455981
1351252200,10.48
1351363800,10.75
1351378200,10.31
1351417800,10.31
1351457400,10.45
1351497000,10.402079166
1351525800,10.68
1351540200,10.59
1351655400,10.73
1351666200,10.74
